 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
10.49601, 0.2676713, 0.008129432, 0.02715249, 0.02053969, 0.01532095, 0.02792483, 0.009240486
10.595972, 0.2659494, 0.01015218, 0.02552843, 0.01959919, 0.01454188, 0.02828193, 0.00862219
10.695934, 0.2546105, 0.009514867, 0.0240015, 0.01870176, 0.01380242, 0.02764829, 0.008045265
10.795896, 0.2493432, 0.01233091, 0.02256591, 0.01784542, 0.01310057, 0.02842331, 0.007506944
10.895858, 0.2422983, 0.01155682, 0.02121618, 0.01702829, 0.0124344, 0.0273342, 0.007004642
10.99582, 0.2473312, 0.01083133, 0.02738269, 0.01624858, 0.01180211, 0.02595762, 0.01196623
11.095782, 0.2415655, 0.01015138, 0.02574486, 0.01550457, 0.01120197, 0.02465037, 0.01116555
11.195744, 0.2312662, 0.009514117, 0.02420499, 0.01479463, 0.01063235, 0.02588281, 0.01041845
11.295706, 0.2214061, 0.008916857, 0.02275722, 0.0141172, 0.01009169, 0.02457932, 0.009721332
11.395668, 0.2170329, 0.008357091, 0.02139605, 0.01347078, 0.009578529, 0.03073265, 0.009070862
11.49563, 0.2261349, 0.007832465, 0.0201163, 0.01285397, 0.009091459, 0.03346812, 0.008463915
11.595592, 0.2168275, 0.007340773, 0.0243943, 0.01226539, 0.008629157, 0.03178263, 0.008639625
11.695554, 0.2281051, 0.006879947, 0.02293521, 0.01170377, 0.01730398, 0.03018203, 0.008061534
11.795516, 0.2226109, 0.00644805, 0.02156339, 0.01116787, 0.01642407, 0.03130591, 0.007522123
11.895478, 0.2261493, 0.006043267, 0.02027363, 0.0106565, 0.01558891, 0.02972932, 0.007018806
11.99544, 0.2285021, 0.005663894, 0.02113531, 0.01016854, 0.01479621, 0.02823212, 0.006549166
12.095402, 0.2261788, 0.005308336, 0.01987115, 0.009702936, 0.01404382, 0.02681032, 0.009962698
12.195364, 0.225162, 0.0049751, 0.02025908, 0.009258647, 0.01784533, 0.02546013, 0.009296077
12.295326, 0.2258281, 0.00793134, 0.02323226, 0.008834701, 0.01955711, 0.02417793, 0.01002159
12.395288, 0.2181613, 0.007433441, 0.02184268, 0.008430167, 0.01856263, 0.02501722, 0.009351028
12.49525, 0.2167689, 0.006966798, 0.02053621, 0.0138385, 0.01761872, 0.02375733, 0.008725336
12.595212, 0.209991, 0.007480807, 0.01930788, 0.01320485, 0.0167228, 0.02256088, 0.008141509
12.695174, 0.2139932, 0.007011191, 0.01815302, 0.01260021, 0.0183322, 0.02390456, 0.007596747
12.795136, 0.2155407, 0.007990596, 0.02297089, 0.01202326, 0.02230346, 0.02270071, 0.007088437
12.895098, 0.2157167, 0.007488977, 0.02159694, 0.01147272, 0.02116933, 0.02376565, 0.006614138
12.99506, 0.2135237, 0.008251533, 0.02182022, 0.0109474, 0.02009286, 0.02256879, 0.006707391
13.095022, 0.20442, 0.007733534, 0.02051509, 0.01044612, 0.01907114, 0.0229209, 0.006258588
13.194984, 0.2027762, 0.008546752, 0.02004151, 0.009967804, 0.01810137, 0.02176659, 0.005839816
13.294946, 0.2038115, 0.008010219, 0.01949441, 0.009511386, 0.01718091, 0.0206704, 0.005956521
13.394908, 0.1961824, 0.008820874, 0.02274872, 0.009075867, 0.01630726, 0.01962942, 0.00555796
13.49487, 0.1987347, 0.009557948, 0.02252933, 0.00866029, 0.01547803, 0.01864086, 0.005186068
13.594832, 0.1933516, 0.008957936, 0.02118179, 0.008263743, 0.01469097, 0.02143547, 0.00483906
13.694794, 0.1879779, 0.008395592, 0.01991485, 0.007885353, 0.01394393, 0.0266011, 0.004515271
13.794756, 0.1799633, 0.007868549, 0.01872369, 0.007524289, 0.01323488, 0.02526144, 0.004213146
13.894718, 0.1722905, 0.007374592, 0.01760378, 0.007179758, 0.01256189, 0.02398925, 0.003931238
