Time(s),Lick,Rinse,ArtSal,Quinine,NaCl,Sucrose,MSG,Citric
758.557,0,0,0,0,0,0,0,0
758.674,1,0,0,0,0,0,0,0
758.684,0,0,0,0,0,0,0,0
758.83,1,0,0,0,0,0,0,0
758.84,0,0,0,0,0,0,0,0
758.956,1,0,0,0,0,0,0,0
758.966,0,0,0,0,0,0,0,0
759.107,1,0,0,0,0,0,0,0
759.117,0,0,0,0,0,0,0,0
759.254,1,1,0,0,0,0,0,0
759.264,0,0,0,0,0,0,0,0
759.384,1,0,0,0,0,0,0,0
759.394,0,0,0,0,0,0,0,0
759.675,1,0,0,0,0,0,0,0
759.685,0,0,0,0,0,0,0,0
759.812,1,0,0,0,0,0,0,0
759.822,0,0,0,0,0,0,0,0
759.935,1,0,0,0,0,0,0,0
759.945,0,0,0,0,0,0,0,0
760.081,1,1,0,0,0,0,0,0
760.091,0,0,0,0,0,0,0,0
760.238,1,0,0,0,0,0,0,0
760.248,0,0,0,0,0,0,0,0
760.401,1,0,0,0,0,0,0,0
760.411,0,0,0,0,0,0,0,0
760.55,1,0,0,0,0,0,0,0
760.56,0,0,0,0,0,0,0,0
760.708,1,0,0,0,0,0,0,0
760.718,0,0,0,0,0,0,0,0
761.663,1,0,0,0,0,0,0,0
761.673,0,0,0,0,0,0,0,0
761.816,1,1,0,0,0,0,0,0
761.826,0,0,0,0,0,0,0,0
761.992,1,0,0,0,0,0,0,0
762.002,0,0,0,0,0,0,0,0
762.151,1,0,0,0,0,0,0,0
762.161,0,0,0,0,0,0,0,0
