Time(s),Lick,ArtSal,Chocolate,Quinine,NaCl,Sucrose,Peanut,Acid
416.2392,1,0,0,0,0,0,0,0
416.249,0,0,0,0,0,0,0,0
416.4192,1,0,0,0,0,0,0,0
416.429,0,0,0,0,0,0,0,0
416.5724,1,1,0,0,0,0,0,0
416.582,0,0,0,0,0,0,0,0
416.7372,1,0,0,0,0,0,0,0
416.747,0,0,0,0,0,0,0,0
416.8894,1,0,0,0,0,0,0,0
416.899,0,0,0,0,0,0,0,0
417.0384,1,0,0,0,0,0,0,0
417.048,0,0,0,0,0,0,0,0
417.2092,1,0,0,0,0,0,0,0
417.219,0,0,0,0,0,0,0,0
417.3754,1,0,0,0,0,0,0,0
417.385,0,0,0,0,0,0,0,0
417.5404,1,1,0,0,0,0,0,0
417.55,0,0,0,0,0,0,0,0
417.7294,1,0,0,0,0,0,0,0
417.739,0,0,0,0,0,0,0,0
417.8824,1,0,0,0,0,0,0,0
417.892,0,0,0,0,0,0,0,0
418.0404,1,0,0,0,0,0,0,0
418.05,0,0,0,0,0,0,0,0
418.2044,1,0,0,0,0,0,0,0
418.214,0,0,0,0,0,0,0,0
418.3752,1,0,0,0,0,0,0,0
418.385,0,0,0,0,0,0,0,0
418.5444,1,1,0,0,0,0,0,0
418.554,0,0,0,0,0,0,0,0
418.7034,1,0,0,0,0,0,0,0
418.713,0,0,0,0,0,0,0,0
418.8714,1,0,0,0,0,0,0,0
418.881,0,0,0,0,0,0,0,0
419.0444,1,0,0,0,0,0,0,0
419.054,0,0,0,0,0,0,0,0
419.2224,1,1,0,0,0,0,0,0
419.232,0,0,0,0,0,0,0,0
419.3804,1,0,0,0,0,0,0,0
419.39,0,0,0,0,0,0,0,0
419.5334,1,0,0,0,0,0,0,0
419.543,0,0,0,0,0,0,0,0
423.4474,1,0,0,0,0,0,0,0
423.457,0,0,0,0,0,0,0,0
423.5724,1,0,0,0,0,0,0,0
423.582,0,0,0,0,0,0,0,0
423.7184,1,1,0,0,0,0,0,0
423.728,0,0,0,0,0,0,0,0
423.8684,1,0,0,0,0,0,0,0
423.878,0,0,0,0,0,0,0,0
467.7912,1,0,0,0,0,0,0,0
467.801,0,0,0,0,0,0,0,0
467.8992,1,0,0,0,0,0,0,0
467.909,0,0,0,0,0,0,0,0
468.0194,1,0,0,0,0,0,0,0
468.029,0,0,0,0,0,0,0,0
468.1362,1,0,0,0,0,0,0,0
468.146,0,0,0,0,0,0,0,0
468.2782,1,1,0,0,0,0,0,0
468.288,0,0,0,0,0,0,0,0
468.4162,1,0,0,0,0,0,0,0
468.426,0,0,0,0,0,0,0,0
468.5522,1,0,0,0,0,0,0,0
468.562,0,0,0,0,0,0,0,0
468.7024,1,0,0,0,0,0,0,0
468.712,0,0,0,0,0,0,0,0
468.8492,1,1,0,0,0,0,0,0
468.859,0,0,0,0,0,0,0,0
468.9822,1,0,0,0,0,0,0,0
468.992,0,0,0,0,0,0,0,0
469.1252,1,0,0,0,0,0,0,0
469.135,0,0,0,0,0,0,0,0
469.2712,1,0,0,0,0,0,0,0
469.281,0,0,0,0,0,0,0,0
469.4362,1,0,0,0,0,0,0,0
469.446,0,0,0,0,0,0,0,0
469.5692,1,1,0,0,0,0,0,0
469.579,0,0,0,0,0,0,0,0
469.7282,1,0,0,0,0,0,0,0
469.738,0,0,0,0,0,0,0,0
469.8742,1,0,0,0,0,0,0,0
469.884,0,0,0,0,0,0,0,0
470.0292,1,0,0,0,0,0,0,0
470.039,0,0,0,0,0,0,0,0
470.1664,1,0,0,0,0,0,0,0
470.176,0,0,0,0,0,0,0,0
487.7066,1,1,0,0,0,0,0,0
487.717,0,0,0,0,0,0,0,0
487.8246,1,0,0,0,0,0,0,0
487.835,0,0,0,0,0,0,0,0
487.9456,1,0,0,0,0,0,0,0
487.956,0,0,0,0,0,0,0,0
488.0666,1,0,0,0,0,0,0,0
488.077,0,0,0,0,0,0,0,0
488.2026,1,0,0,0,0,0,0,0
488.213,0,0,0,0,0,0,0,0
488.3426,1,0,1,0,0,0,0,0
488.353,0,0,0,0,0,0,0,0
489.2016,1,0,1,0,0,0,0,0
489.212,0,0,0,0,0,0,0,0
489.4606,1,0,1,0,0,0,0,0
489.471,0,0,0,0,0,0,0,0
489.7526,1,0,1,0,0,0,0,0
489.763,0,0,0,0,0,0,0,0
489.9246,1,0,1,0,0,0,0,0
489.935,0,0,0,0,0,0,0,0
490.0746,1,0,1,0,0,0,0,0
490.085,0,0,0,0,0,0,0,0
490.2306,1,0,1,0,0,0,0,0
490.241,0,0,0,0,0,0,0,0
490.3956,1,0,1,0,0,0,0,0
490.406,0,0,0,0,0,0,0,0
490.8026,1,0,1,0,0,0,0,0
490.813,0,0,0,0,0,0,0,0
490.9778,1,0,0,0,0,0,1,0
490.988,0,0,0,0,0,0,0,0
491.1246,1,0,0,0,0,0,0,0
491.135,0,0,0,0,0,0,0,0
491.2526,1,0,0,0,0,0,0,0
491.263,0,0,0,0,0,0,0,0
491.4448,1,0,0,0,0,0,0,0
491.455,0,0,0,0,0,0,0,0
491.5786,1,0,0,0,0,0,0,0
491.589,0,0,0,0,0,0,0,0
491.7438,1,1,0,0,0,0,0,0
491.754,0,0,0,0,0,0,0,0
491.8736,1,0,0,0,0,0,0,0
491.884,0,0,0,0,0,0,0,0
492.0348,1,0,0,0,0,0,0,0
492.045,0,0,0,0,0,0,0,0
492.1828,1,0,0,0,0,0,0,0
492.193,0,0,0,0,0,0,0,0
492.3696,1,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0
492.5138,1,0,0,0,0,1,0,0
492.524,0,0,0,0,0,0,0,0
492.6816,1,0,0,0,0,0,0,0
492.692,0,0,0,0,0,0,0,0
492.8298,1,0,0,0,0,0,0,0
492.84,0,0,0,0,0,0,0,0
492.9958,1,0,0,0,0,0,0,0
493.006,0,0,0,0,0,0,0,0
493.1588,1,1,0,0,0,0,0,0
493.169,0,0,0,0,0,0,0,0
493.3548,1,0,0,0,0,0,0,0
493.365,0,0,0,0,0,0,0,0
493.4868,1,0,0,0,0,0,0,0
493.497,0,0,0,0,0,0,0,0
493.6398,1,0,0,0,0,0,0,0
493.65,0,0,0,0,0,0,0,0
493.8188,1,1,0,0,0,0,0,0
493.829,0,0,0,0,0,0,0,0
