 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.797036, 42.31602, 3.66676, 6.520289, 6.614147, 13.01914, 1.981742, 7.151516, 3.239221, 10.44827, 13.60129, 7.229457, 2.816126, 2.800429
7.896998, 40.50585, 3.501597, 6.195633, 6.256383, 12.38561, 1.883946, 6.84275, 3.082886, 9.89827, 13.09818, 6.800957, 2.665072, 2.663298
7.99696, 38.77312, 4.581766, 5.887141, 7.465214, 11.7829, 1.790976, 6.547315, 2.934098, 9.377219, 14.6051, 6.397854, 2.522119, 2.532882
8.096921999999999, 37.11451, 4.375388, 5.59401, 7.061416, 11.20953, 1.702594, 6.264636, 2.792489, 8.883598, 15.76173, 6.018644, 2.386835, 2.408852
8.196884000000001, 35.52684, 4.178305, 5.315475, 7.692286, 10.66405, 1.618574, 5.994161, 2.657716, 8.415962, 15.46649, 5.66191, 2.258807, 2.290896
8.296846, 34.0071, 3.9901, 5.050808, 8.572711, 10.14512, 1.5387, 5.735364, 2.529447, 7.972942, 14.72093, 5.326321, 2.625292, 2.178716
8.396808, 32.55237, 3.810372, 4.799319, 8.109008, 9.651441, 1.462767, 5.487741, 2.407368, 7.553243, 14.0113, 5.010622, 2.484473, 2.072029
8.49677, 31.15986, 3.63874, 4.560353, 7.670387, 9.181785, 1.390582, 5.416626, 2.564414, 7.155637, 16.23317, 4.713635, 2.351208, 1.970567
8.596731999999999, 29.82693, 3.474839, 4.333284, 7.255492, 8.734982, 1.321959, 6.881939, 2.440648, 6.778961, 15.45065, 4.434251, 2.225091, 1.874072
8.696694000000001, 28.55101, 3.31832, 4.117523, 6.863038, 8.309922, 1.256722, 6.584812, 2.322855, 6.422113, 15.24524, 4.171426, 2.105739, 2.235692
8.796656, 27.32967, 3.168852, 3.912504, 6.491813, 7.905547, 1.194705, 6.300514, 2.210748, 6.084051, 16.67477, 3.92418, 1.992789, 4.869012
8.896618, 26.16058, 3.026116, 3.717694, 6.140667, 7.520849, 1.135748, 6.02849, 2.357825, 5.763783, 15.87096, 3.691588, 1.885898, 5.468317
8.99658, 25.0415, 2.889809, 3.532583, 5.808515, 7.154871, 1.0797, 5.768211, 2.244029, 5.460375, 15.1059, 3.472782, 1.78474, 5.200546
9.096541999999999, 23.97029, 2.759643, 3.35669, 5.494329, 6.806703, 1.026419, 5.519169, 2.135726, 5.172939, 15.31264, 3.266945, 1.689008, 4.945887
9.196503999999999, 22.9449, 2.635339, 3.189554, 5.197137, 6.475477, 0.9757665, 5.28088, 2.03265, 4.900633, 17.24987, 3.073309, 1.598411, 4.703698
9.296466000000001, 21.96338, 2.516634, 3.030741, 4.916021, 6.160368, 0.927614, 5.052879, 1.934548, 4.642662, 16.41834, 2.891149, 1.512673, 4.473368
9.396428, 21.02385, 2.403276, 2.879835, 4.650111, 5.860594, 0.8818377, 4.834722, 1.841181, 4.39827, 15.62689, 2.719787, 1.431535, 4.254317
