 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.583781, 0.1006995, -0.0004739622, 0.006836068, -0.01963929, -0.02118898, 0.004007864, -0.003821683
7.64257, 0.09993312, 0.0001362878, 0.007469347, -0.01967994, -0.01630222, 0.01011758, -0.01129256
7.701359, 0.1046465, 0.0004015872, 0.004009789, -0.01942052, -0.02077674, 0.004667132, -0.003756552
7.760148, 0.0994835, 0.0001401882, 0.003801875, -0.02158209, -0.02223194, 0.006113089, -0.008152482
7.818937, 0.09347278, -0.001111734, 0.006344687, -0.02232974, -0.01833639, 0.002356357, -0.01050198
7.877726, 0.09422047, 0.001035659, 0.008514326, -0.01401023, -0.02224572, 0.003332859, -0.004895339
7.936515, 0.08865026, 0.001917905, 0.005516528, -0.01698796, -0.02856888, -4.095747e-05, -0.005802244
7.995304, 0.08567904, -0.0003678763, 0.001328493, -0.01809471, -0.02697257, 0.001365019, -0.008843039
8.054093, 0.08190583, 0.001020905, -0.0005290478, -0.02019035, -0.01378085, 0.01310053, -0.009054157
8.112882000000001, 0.08372903, -0.0004065073, -0.0009325036, -0.02466629, -0.02136927, 0.01039939, -0.01192609
8.171671, 0.08317859, 0.002398508, 0.002615018, -0.02136795, -0.02157009, 0.02271009, -0.01121499
8.230460000000001, 0.0872318, -0.0003111695, 0.0002132819, -0.02171685, -0.01722331, 0.01044689, -0.005411817
8.289249, 0.08363666, 0.00187809, 0.002155663, -0.02439325, -0.01404241, 0.006865731, -0.009135862
8.348038000000001, 0.07774885, 0.001713445, 0.003905726, -0.01878922, -0.01792984, 0.008810961, -0.009708988
8.406827, 0.07042024, -0.0005553868, -0.002511313, -0.01847542, -0.01790799, 0.007602348, -0.007144839
8.465616000000001, 0.06599949, 0.002884936, 0.005684269, -0.01979977, -0.02069477, 0.006990297, -0.01551184
8.524405, 0.07437769, 0.0003128389, 0.00495781, -0.01770529, -0.02306084, 0.003504695, -0.01084881
8.583194000000001, 0.07183545, -0.0002954839, 0.004040412, -0.02342759, -0.02436352, 0.002103173, -0.00707102
8.641983, 0.07175855, 0.001192656, 0.006283345, -0.02123994, -0.02256257, 0.002518424, -0.01218013
8.700772000000001, 0.07505281, -0.000427798, 0.007051926, -0.0175368, -0.01869323, 0.007373064, -0.01304562
8.759561, 0.06485452, -0.0004431768, 0.006005187, -0.01882461, -0.01931001, 0.01645273, -0.01299272
8.818350000000001, 0.06505582, -0.002007667, 0.003590362, -0.02130775, -0.01987258, 0.01496923, -0.01480618
8.877139, 0.06746831, -0.00017655, 0.001670277, -0.01616046, -0.02118289, 0.0265113, -0.01163062
8.935928000000001, 0.06826632, -0.001420405, 0.008512368, -0.02030764, -0.02248705, 0.01961961, -0.00108168
8.994717, 0.07227208, 0.0006572674, 0.005399553, -0.02087248, -0.01793554, 0.0181771, -0.009030947
9.053506, 0.06770081, -0.001156408, 0.001718387, -0.02424866, -0.01992725, 0.01898739, -0.01153465
9.112295, 0.07736718, 0.003497605, -0.00109176, -0.01692835, -0.0195091, 0.02522868, -0.008515441
9.171084, 0.08882183, 0.00268493, -6.589218e-05, -0.02068304, -0.01608468, 0.02342724, -0.01182559
9.229873, 0.09414952, 0.002354475, -0.001774087, -0.02270383, -0.01855864, 0.02413787, -0.0139302
9.288662, 0.09868502, -0.0003345105, -0.003659447, -0.02142129, -0.01991103, 0.02360968, -0.0119421
9.347451, 0.09225295, 0.002408426, 0.002653436, -0.01990699, -0.01992758, 0.02530997, -0.01816132
9.40624, 0.0873099, 0.0009441959, 0.003663772, -0.0236649, -0.01826773, 0.01344709, -0.006663523
9.465028999999999, 0.08646992, -0.001298937, 0.004153428, -0.02091437, -0.01501812, 0.0101756, -0.01084313
9.523818, 0.08263393, 0.001667459, 0.005203201, -0.02339366, -0.01653764, 0.01601126, -0.006768859
9.582606999999999, 0.0831701, 0.003149749, 0.00805775, -0.02015784, -0.02330399, 0.01969764, -0.007719629
9.641396, 0.08966899, 0.0006091716, 0.009097252, -0.02022013, -0.02807988, 0.01753806, -0.007296868
9.700184999999999, 0.08690572, 0.0003611562, 0.004743891, -0.02127662, -0.01620192, 0.02533584, -0.01126629
9.758974, 0.08430076, -0.0001096274, 0.006110723, -0.01816401, -0.01754433, 0.01518772, -0.00968512
9.817762999999999, 0.08050911, -0.003196239, 0.007715072, -0.02033483, -0.02045383, 0.0130202, -0.01249498
9.876552, 0.07637951, 0.0002666129, 0.00115274, -0.01870504, -0.02084301, 0.01133379, -0.004683716
9.935340999999999, 0.0776628, -0.001188115, 3.220805e-05, -0.02389989, -0.01940633, 0.01640123, -0.00489205
9.99413, 0.07308052, -0.000281609, 0.003653456, -0.02080017, -0.02104218, 0.01604885, -0.00855739
10.052919, 0.06814747, 0.002066758, 0.0002125874, -0.02090148, -0.02175871, 0.01382448, -0.01098867
10.111708, 0.06797063, 0.001418276, 0.005138712, -0.02120178, -0.01466498, 0.009157537, -0.008178469
10.170497, 0.07108516, 0.001744923, 0.002029614, -0.01900341, -0.018954, 0.01344181, -0.009866606
10.229286, 0.0733548, 0.003402404, 0.006176637, -0.01993733, -0.0115261, 0.01592927, -0.003416233
10.288075, 0.08567096, 0.00161383, 0.0005931736, -0.01992564, -0.01566489, 0.01256589, -0.005304907
10.346864, 0.09078716, 0.0005535089, 0.004642733, -0.01884555, -0.01679273, 0.01099648, -0.001144914
10.405653, 0.08798263, 0.001526259, 0.003702178, -0.01911158, -0.01463411, 0.01425781, 0.001836329
10.464442, 0.08184092, 0.0006065326, 0.00505428, -0.02326114, -0.01936132, 0.01136727, -0.006226684
10.523231, 0.08723833, -0.0005505779, 0.001493391, -0.02050545, -0.01371177, 0.01685443, -0.003678279
10.58202, 0.09659053, 0.000201113, 0.001882334, -0.02339401, -0.0128929, 0.01359801, 0.005589524
10.640809, 0.0966109, -0.002125942, -0.0004497946, -0.02281133, -0.01683936, 0.01005585, -0.001232216
10.699598, 0.0978978, 0.0005854058, 0.003978131, -0.0243427, -0.0232566, 0.001912914, -0.002216249
